Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year,Month,Month_Name,Quarter,Profit_Margin,Avg_Unit_Price
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,2023,6,June,2,13.11,1945.2
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,2024,12,December,4,13.11,1945.2
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,2021,7,July,3,13.11,1945.2
B-26776,4975,1330,14,Electronics,Printers,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,2023,6,June,2,26.73,355.36
B-26776,4975,1330,14,Electronics,Printers,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,2024,12,December,4,26.73,355.36
B-26776,4975,1330,14,Electronics,Printers,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,2021,7,July,3,26.73,355.36
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2024-05-11,John Fields,Florida,Orlando,2024-05,2024,5,May,2,12.13,127.08
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2021-10-09,Clayton Smith,Florida,Miami,2021-10,2021,10,October,4,12.13,127.08
B-26640,883,117,10,Electronics,Laptops,EMI,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,2022,11,November,4,13.25,88.3
B-26640,8127,3551,16,Furniture,Tables,Credit Card,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,2022,11,November,4,43.69,507.94
B-25890,2516,734,19,Furniture,Chairs,UPI,2023-11-12,Jacqueline Hubbard,New York,New York City,2023-11,2023,11,November,4,29.17,132.42
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,2020-03-23,Jessica Anderson,New York,New York City,2020-03,2020,3,March,1,15.53,212.5
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,41.05,6851.0
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,13.72,508.4
B-25426,1023,78,9,Furniture,Tables,UPI,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,2020,5,May,2,7.62,113.67
B-25238,7600,1098,10,Office Supplies,Pens,UPI,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,2023,11,November,4,14.45,760.0
B-25238,7501,262,18,Office Supplies,Paper,COD,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,2023,11,November,4,3.49,416.72
B-25051,725,133,6,Office Supplies,Paper,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,2024,12,December,4,18.34,120.83
B-25051,7201,2685,2,Furniture,Tables,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,2024,12,December,4,37.29,3600.5
B-26510,1629,265,1,Office Supplies,Paper,UPI,2025-02-11,Douglas Pennington,Texas,Dallas,2025-02,2025,2,February,1,16.27,1629.0
B-26510,1629,265,1,Office Supplies,Paper,UPI,2024-01-23,Ricardo Andrews,California,San Diego,2024-01,2024,1,January,1,16.27,1629.0
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,2020-11-28,Paul Raymond,California,San Diego,2020-11,2020,11,November,4,33.12,472.16
B-25104,2939,894,20,Office Supplies,Binders,COD,2020-11-28,Paul Raymond,California,San Diego,2020-11,2020,11,November,4,30.42,146.95
B-25553,9380,414,11,Electronics,Phones,UPI,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,4.41,852.73
B-25553,8558,1644,18,Office Supplies,Binders,Credit Card,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,19.21,475.44
B-25553,4080,72,17,Office Supplies,Paper,COD,2024-05-30,Karen Johnson,New York,Rochester,2024-05,2024,5,May,2,1.76,240.0
B-26703,4206,1821,17,Electronics,Electronic Games,EMI,2022-01-23,Juan Erickson,Texas,Austin,2022-01,2022,1,January,1,43.3,247.41
B-26232,5219,1180,20,Office Supplies,Binders,COD,2021-12-17,Alexander Reed,New York,New York City,2021-12,2021,12,December,4,22.61,260.95
B-26232,5219,1180,20,Office Supplies,Binders,COD,2023-02-03,Jacqueline Harris,California,San Francisco,2023-02,2023,2,February,1,22.61,260.95
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-10-30,Tyler Park,California,San Francisco,2022-10,2022,10,October,4,20.62,184.3
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-01-15,Richard Wolfe,Ohio,Columbus,2022-01,2022,1,January,1,20.62,184.3
B-26157,6045,1606,4,Office Supplies,Paper,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,2023,12,December,4,26.57,1511.25
B-26157,9337,554,11,Office Supplies,Pens,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,2023,12,December,4,5.93,848.82
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,2023,7,July,3,45.62,337.58
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,2021,5,May,2,45.62,337.58
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,2023,7,July,3,17.28,455.55
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,2021,5,May,2,17.28,455.55
B-26139,3958,630,15,Furniture,Sofas,EMI,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,2022,10,October,4,15.92,263.87
B-26139,3132,963,1,Furniture,Tables,Debit Card,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,2022,10,October,4,30.75,3132.0
B-25032,7784,2937,12,Office Supplies,Markers,UPI,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,37.73,648.67
B-25032,5591,1696,3,Office Supplies,Pens,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,30.33,1863.67
B-25032,5122,2413,12,Electronics,Electronic Games,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,2024,8,August,3,47.11,426.83
B-25730,8293,2632,8,Office Supplies,Binders,COD,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,2022,1,January,1,31.74,1036.62
B-25730,8293,2632,8,Office Supplies,Binders,COD,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,2020,10,October,4,31.74,1036.62
B-25730,8293,2632,8,Office Supplies,Binders,COD,2023-08-21,Austin White,California,Los Angeles,2023-08,2023,8,August,3,31.74,1036.62
B-25730,2863,205,17,Electronics,Phones,UPI,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,2022,1,January,1,7.16,168.41
B-25730,2863,205,17,Electronics,Phones,UPI,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,2020,10,October,4,7.16,168.41
B-25730,2863,205,17,Electronics,Phones,UPI,2023-08-21,Austin White,California,Los Angeles,2023-08,2023,8,August,3,7.16,168.41
B-26470,3090,573,6,Furniture,Tables,EMI,2024-12-27,Morgan Montes,California,San Diego,2024-12,2024,12,December,4,18.54,515.0
B-26470,3090,573,6,Furniture,Tables,EMI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,2021,6,June,2,18.54,515.0
B-26470,3090,573,6,Furniture,Tables,EMI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,2023,5,May,2,18.54,515.0
B-26470,3090,573,6,Furniture,Tables,EMI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,2021,10,October,4,18.54,515.0
B-26470,9683,1014,5,Electronics,Printers,UPI,2024-12-27,Morgan Montes,California,San Diego,2024-12,2024,12,December,4,10.47,1936.6
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,2021,6,June,2,10.47,1936.6
B-26470,9683,1014,5,Electronics,Printers,UPI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,2023,5,May,2,10.47,1936.6
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,2021,10,October,4,10.47,1936.6
B-25988,2463,648,18,Furniture,Tables,EMI,2022-09-19,Connie Holmes,Ohio,Cincinnati,2022-09,2022,9,September,3,26.31,136.83
B-25568,7811,1538,12,Furniture,Sofas,COD,2022-03-25,Melissa Peck,Florida,Miami,2022-03,2022,3,March,1,19.69,650.92
B-26730,6139,451,10,Furniture,Tables,Debit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,7.35,613.9
B-26730,6139,451,10,Furniture,Tables,Debit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,7.35,613.9
B-26730,8636,3192,3,Furniture,Chairs,COD,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,36.96,2878.67
B-26730,8636,3192,3,Furniture,Chairs,COD,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,36.96,2878.67
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,2022,2,February,1,38.57,233.63
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,2021,4,April,2,38.57,233.63
B-25372,1016,172,20,Furniture,Tables,Debit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,16.93,50.8
B-25372,5768,2059,14,Furniture,Tables,UPI,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,35.7,412.0
B-25372,1217,151,3,Furniture,Tables,Credit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,2020,11,November,4,12.41,405.67
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,9.76,476.5
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,9.76,476.5
B-26026,7355,1034,3,Furniture,Sofas,COD,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,14.06,2451.67
B-26026,7355,1034,3,Furniture,Sofas,COD,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,14.06,2451.67
B-26026,1843,248,3,Electronics,Phones,Credit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,13.46,614.33
B-26026,1843,248,3,Electronics,Phones,Credit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,13.46,614.33
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024,12,December,4,22.52,160.3
